2025-08-21 11:58:17.026 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-08-21 11:58:17.293 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-08-21 11:58:17.302 [main] INFO  c.r.customer.CustomerApplication - Started CustomerApplication in 4.701 seconds (JVM running for 5.645)
2025-08-21 11:58:51.611 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-21 11:58:51.993 [http-nio-8080-exec-1] INFO  c.r.c.serviceImpl.RewardServiceImpl - Testing log
2025-08-21 11:59:59.151 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-08-21 11:59:59.154 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-08-21 11:59:59.156 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-08-21 12:06:28.591 [main] INFO  c.r.customer.CustomerApplication - Starting CustomerApplication using Java 1.8.0_451 on DESKTOP-AEIB7Q0 with PID 11180 (C:\Users\Lenovo\workspace\infosys_code_assignment\customer\target\classes started by Lenovo in C:\Users\Lenovo\workspace\infosys_code_assignment\customer)
2025-08-21 12:06:28.596 [main] INFO  c.r.customer.CustomerApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-21 12:06:29.658 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-08-21 12:06:29.760 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 85 ms. Found 1 JPA repository interfaces.
2025-08-21 12:06:30.555 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-08-21 12:06:30.567 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-08-21 12:06:30.567 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-08-21 12:06:30.880 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-08-21 12:06:30.881 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2209 ms
2025-08-21 12:06:30.924 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-08-21 12:06:31.037 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-08-21 12:06:31.060 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:rewards'
2025-08-21 12:06:31.187 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-08-21 12:06:31.279 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2025-08-21 12:06:31.401 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-08-21 12:06:31.488 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2025-08-21 12:06:31.952 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-08-21 12:06:31.962 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-08-21 12:06:32.239 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-08-21 12:06:32.501 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-08-21 12:06:32.510 [main] INFO  c.r.customer.CustomerApplication - Started CustomerApplication in 4.698 seconds (JVM running for 5.668)
2025-08-21 12:06:57.063 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-21 12:06:57.164 [http-nio-8080-exec-1] INFO  c.r.c.serviceImpl.RewardServiceImpl - Testing log
2025-08-21 12:07:16.610 [http-nio-8080-exec-3] INFO  c.r.c.serviceImpl.RewardServiceImpl - Testing log
2025-08-21 12:07:47.731 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-08-21 12:07:47.735 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-08-21 12:07:47.737 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-08-21 12:08:09.759 [main] INFO  c.r.customer.CustomerApplication - Starting CustomerApplication using Java 1.8.0_451 on DESKTOP-AEIB7Q0 with PID 11144 (C:\Users\Lenovo\workspace\infosys_code_assignment\customer\target\classes started by Lenovo in C:\Users\Lenovo\workspace\infosys_code_assignment\customer)
2025-08-21 12:08:09.764 [main] INFO  c.r.customer.CustomerApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-21 12:08:10.734 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-08-21 12:08:10.826 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 76 ms. Found 1 JPA repository interfaces.
2025-08-21 12:08:11.456 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-08-21 12:08:11.462 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-08-21 12:08:11.462 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-08-21 12:08:11.604 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-08-21 12:08:11.606 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1776 ms
2025-08-21 12:08:11.626 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-08-21 12:08:11.734 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-08-21 12:08:11.745 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:rewards'
2025-08-21 12:08:11.865 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-08-21 12:08:11.967 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2025-08-21 12:08:12.085 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-08-21 12:08:12.171 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2025-08-21 12:08:12.638 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-08-21 12:08:12.647 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-08-21 12:08:12.932 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-08-21 12:08:13.199 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-08-21 12:08:13.208 [main] INFO  c.r.customer.CustomerApplication - Started CustomerApplication in 4.191 seconds (JVM running for 6.007)
2025-08-21 12:08:13.856 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-08-21 12:08:13.860 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-08-21 12:08:13.863 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-08-21 12:09:57.580 [main] INFO  c.r.customer.CustomerApplication - Starting CustomerApplication using Java 1.8.0_451 on DESKTOP-AEIB7Q0 with PID 20944 (C:\Users\Lenovo\workspace\infosys_code_assignment\customer\target\classes started by Lenovo in C:\Users\Lenovo\workspace\infosys_code_assignment\customer)
2025-08-21 12:09:57.583 [main] INFO  c.r.customer.CustomerApplication - No active profile set, falling back to 1 default profile: "default"
